phenotype,total_paid_mean,total_paid_median,total_paid_std,total_claims_mean,total_claims_median,total_claims_std,total_beneficiaries_mean,total_beneficiaries_median,total_beneficiaries_std,paid_per_claim_mean,paid_per_claim_median,paid_per_claim_std,paid_per_beneficiary_mean,paid_per_beneficiary_median,paid_per_beneficiary_std,claims_per_beneficiary_mean,claims_per_beneficiary_median,claims_per_beneficiary_std,n_years_active_mean,n_years_active_median,n_years_active_std,n_months_active_mean,n_months_active_median,n_months_active_std,n_unique_hcpcs_mean,n_unique_hcpcs_median,n_unique_hcpcs_std,n_servicing_npis_mean,n_servicing_npis_median,n_servicing_npis_std,n_providers,pct_of_total
0,133532.6779575265,29526.845,458275.3348354698,3215.7165067696897,758.0,9302.645320437327,2877.012875914466,693.0,8137.2985696833575,47.48930433495673,36.95766469255477,38.98002836431892,51.958987851638696,40.259216178783774,43.08437874129439,1.0913447027664247,1.0660660660660661,0.08714363197980159,3.7311617092732416,3.0,2.094521911416045,27.0005988797426,19.0,23.941503581425508,6.509235665050083,4.0,7.438205170215715,1.0,1.0,0.0,170318,27.58172834787847
1,433697.9770979424,30320.5,2351290.309741989,37065.62106995885,1738.5,216032.01622601654,4020.8883950617283,261.5,17599.783481546187,34.25887725005698,10.699639581463895,71.66369551540836,435.11623429975424,94.06890034364261,1161.7596366040257,9.62167068395776,7.301643064535922,9.724392772490017,3.2896296296296295,2.0,2.282858016203486,22.622139917695474,10.0,25.84406891268857,4.370617283950617,2.0,5.630632082200382,1.2321810699588478,1.0,1.8083320479358636,12150,1.967601776833473
2,11710506.263792828,2380485.475,76941196.85874648,109374.14627548897,24866.0,873793.7364013725,7187.798862532945,1682.0,60525.32721544961,128.61114867142285,89.13416709481052,125.94539592265181,2037.2019991940022,1354.408854533399,2251.50602367846,16.050780296526202,14.417877862299811,7.302208727251969,4.612949091413511,5.0,2.197253237524824,46.34578304896657,45.0,28.807271540517537,3.478013594118463,2.0,3.96195300777445,1.4222846441947565,1.0,3.363328175134159,28836,4.6697748836847754
3,1207945.3995237802,284022.13,4941275.057731892,28376.413103745686,7361.0,95326.39621099416,24000.53816535239,6367.5,79806.7449735259,44.66543266150742,37.10873773264374,26.722087610572938,52.50679058359574,43.19148206558974,32.349773696122426,1.1772572505373755,1.1515471670101012,0.12140098627268729,4.586187777230163,5.0,1.5880336664088648,43.11446525381962,46.0,16.08751311853192,17.91541399704288,11.0,26.155210831802524,10.760319122720553,4.0,29.06158200913914,32464,5.257302393672581
4,6215800.19026309,1206423.4449999998,24861194.128556345,141457.4358587334,29192.0,819078.300516389,118353.74223390788,24776.5,727822.398201649,55.377455227083665,37.95297749839928,61.51929838720761,66.30922171800022,44.98305036284432,74.4758651470987,1.1962431432003349,1.1595848654606722,0.14719793314103571,7.0,7.0,0.0,81.15619826662771,83.0,4.12827436638906,38.18554224689194,19.0,70.32073872934957,22.089752329016132,3.0,93.22440192255094,61614,9.97792723274219
5,3.393179280130573e-05,0.0,0.0007550694579518121,2246.003178421098,87.0,52976.25217451336,942.8144918821407,60.0,11938.950575217992,4.7392888908757225e-07,0.0,2.133643698162966e-05,5.750618704810723e-07,0.0,2.4747426510371687e-05,1.9991426456700276,1.1071428571428572,2.9719115592444,1.7249377201271368,1.0,1.2866090284010752,6.823683532342582,2.0,12.074926125611514,3.249334249634911,2.0,5.30737122145086,1.0726312172493773,1.0,1.3656361200702987,23282,3.7703460549989227
6,73521.83796116052,3300.08,531112.565830422,394.82943034654795,57.0,913.689587162907,156.42432013428294,34.0,307.99417665560134,139.50485484887292,58.58522727272727,453.182738166866,252.84992422572265,96.97965517241379,827.23265191221,1.9772471209496965,1.5833333333333333,1.1250258167070224,1.940342001888354,1.0,1.4951182991855776,8.974402312650806,2.0,14.895748985869485,1.0,1.0,0.0,1.0,1.0,0.0,85789,13.892887969775044
7,749763.0329632171,77412.345,4306077.489862743,12021.76412907555,1878.0,58610.714089950234,4922.840607557873,856.5,22893.556535496493,55.068459427279336,40.055681216768726,49.90583251085722,131.92666691299206,85.7879689538943,138.9783687294549,2.3337718516691477,2.119543564870951,0.8020996739298044,4.021212675755635,4.0,2.162385421880925,32.26856681001617,24.0,26.508893108591405,5.560740537408119,3.0,6.848749235243901,1.0,1.0,0.0,65574,10.619219663710137
8,5992615.36437594,713931.51,61756316.62019049,65740.41583903006,11067.0,837009.3278226539,14718.25198847758,2610.0,152179.19883686735,118.71570409078097,63.84547243295874,219.12731887079352,525.1323384855377,262.96156928213685,950.9995415978207,4.36940840593224,4.179932260795936,1.1768966994513212,4.888387290941141,5.0,2.049879486203473,46.77931123436089,47.0,27.178496274708078,6.672857818478868,4.0,7.949551180213984,8.254955071155251,2.0,35.56605519654765,23259,3.766621376738251
9,60350.40489452375,18939.77,182592.59165868053,1640.4718943106755,567.0,4398.589770692035,1512.3608779032602,518.0,4039.378797504301,45.906997666615965,31.424415584415588,42.72322477258492,49.833951959257156,34.23441176470589,46.24768894416433,1.087644305284873,1.0673952641165756,0.07822833475065229,3.536245471979544,3.0,1.9807871836161681,18.777200085233325,14.0,15.741418091262776,5.989942467504794,4.0,6.156789175386008,3.280460259961645,2.0,3.6887704462227395,23465,3.7999815385512297
10,2482785.160460649,281867.71499999997,14886038.125606898,43446.65710521842,6404.0,274463.48784169264,21278.141849396565,3127.0,132159.87805846162,55.18303582832727,45.120386079509515,39.07575201280399,119.24284695298687,91.75080436758643,92.92873888818471,2.0832988907654637,2.0492106558281584,0.38378012219055785,4.892359340472548,5.0,2.011085953507984,46.441823899371066,46.0,26.897361925916133,10.068969913309536,6.0,15.6393268845239,12.819692333843276,4.0,40.016370770586796,23532,3.8108316882671014
11,31130.38300374897,1865.9,274626.9044492263,4759.283733122009,354.0,34617.684636713944,4006.2570026517114,312.0,28684.995114523168,6.078846632717927,6.035310241714427,2.915274789917323,6.918097641120062,6.752931034482759,3.5731295931064144,1.1277191585578465,1.0833333333333333,0.13153256070307737,3.2773933981529457,3.0,2.1683057219485344,21.91319455027584,11.0,24.47873835337135,6.365966655490872,3.0,12.776620824640759,1.0,1.0,0.0,32809,5.313172567582668
12,423179.41297983966,13135.65,9162754.428581527,83985.02855429813,2772.0,1615420.8130389322,69776.06055609683,1936.0,1520343.0574799431,5.204930800309453,4.9303610035188985,2.456694579619385,7.84582635576632,6.755696202531646,4.5647602041907485,1.477497915902045,1.3846153846153846,0.39667110770432346,4.236903245147269,4.0,2.2641839411494624,36.486697144570186,29.0,29.233542620533456,16.90661770216593,6.0,38.09810455656878,6.98508581278573,2.0,28.266505893455165,13343,2.1607992187892204
13,4680760.77982905,670663.355,20663255.294451162,4968.694096411127,1021.0,21687.89948698479,3866.9780208112124,787.0,18229.58513907048,1008.2813901308474,554.7296460154274,1706.4678062126827,1328.3093895173229,695.6902775804244,2265.9882041954024,1.3787010089096046,1.2588394695254461,0.3923570764432628,3.9798258653641962,4.0,2.1991282631557283,32.15842004671905,24.0,27.93637174420205,3.177850923763007,2.0,3.480266426855925,1.8572945423656828,1.0,3.569159305572489,9418,1.5251747764788188
14,19256.591825751075,359.04499999999996,402502.59610814403,21344.978197424894,1138.0,184158.51981954015,14148.425064377683,631.0,124016.06722036058,0.5914400017253946,0.493098096278856,1.554045506186705,1.368272062623377,0.6922356363204643,3.6273313613213753,2.216134162335315,1.2673166634420192,2.4594297297141594,3.334763948497854,3.0,2.1467018105638895,24.820343347639486,13.0,25.765820351384658,10.547725321888413,4.0,21.97398153334839,3.3540772532188843,1.0,19.64955314340648,11650,1.886630510297116
